        gene_names       cfu       mys        unk      poly  earlyMean   lateMean      ratio
98        Calcoco1  3.333793  2.449567   5.627061  6.733259   2.891680   6.180160   2.137221
102          Ypel2  1.059735  1.604527   4.376263  5.187752   1.332131   4.782007   3.589742
103          Abcb9  0.410497  0.803449   4.426204  3.898847   0.606973   4.162526   6.857843
104          Casp3  5.328535  5.074116   2.074855  2.194632   5.201325   2.134744   0.410423
107  1810058I24Rik  2.325421  3.051066   5.848155  6.239927   2.688243   6.044041   2.248324
110         Ergic1  4.722302  4.190330   1.363115  0.916992   4.456316   1.140053   0.255829
111         Pfkfb4  1.463125  1.136684   4.640737  4.837963   1.299905   4.739350   3.645922
112           Npm1  6.431808  5.561289   2.330834  2.743472   5.996549   2.537153   0.423102
115      Tnfrsf13c  0.310558  0.335094   3.482861  3.173166   0.322826   3.328014  10.308999
117        Wbscr27  0.965980  1.997303   4.269968  5.129720   1.481642   4.699844   3.172052
119           Ydjc  4.622977  4.861588   1.812346  1.198683   4.742283   1.505514   0.317466
120          Impa2  5.190251  4.642909   1.834185  1.577107   4.916580   1.705646   0.346917
130          Numbl  2.062868  2.620131   5.753872  5.572508   2.341499   5.663190   2.418617
132          Tfap4  5.038572  4.668136   1.826742  1.513369   4.853354   1.670056   0.344103
133         C2cd2l  2.645206  2.943361   6.411926  5.748389   2.794283   6.080157   2.175927
141           Bzw2  4.509898  4.340719   1.226792  1.429370   4.425309   1.328081   0.300110
143           Mxi1  2.667429  2.371272   5.961906  5.566748   2.519350   5.764327   2.288021
144          Rrp15  4.261313  4.716947   1.179301  1.472509   4.489130   1.325905   0.295359
146          Smyd5  4.012104  3.799035   0.910224  0.453573   3.905570   0.681899   0.174596
147          Serf1  3.901021  4.364825   0.812336  1.277699   4.132923   1.045018   0.252852
149          Hyal1  0.427668  0.346361   3.503883  3.640008   0.387015   3.571945   9.229479
152          Ube2h  2.502947  2.198023   5.401637  5.574389   2.350485   5.488013   2.334843
155        Gm13157  3.768248  3.736172   0.698212  0.544439   3.752210   0.621326   0.165589
156         Samsn1  3.732649  3.784096   0.442859  0.678865   3.758372   0.560862   0.149230
158           Elf1  2.215738  3.146579   6.050506  5.474303   2.681158   5.762405   2.149222
159         Bri3bp  4.311859  4.458001   1.520885  1.309031   4.384930   1.414958   0.322686
161          8-Mar  2.308536  3.253545   5.510725  6.085363   2.781040   5.798044   2.084847
164         Lpcat4  3.998313  3.285401   1.231844  0.456877   3.641857   0.844360   0.231849
165         Nudt18  2.322652  2.150469   5.199201  5.244130   2.236560   5.221665   2.334686
168        Slc19a1  3.831543  3.643337   1.066330  0.522920   3.737440   0.794625   0.212612
169          Capn5  0.154704  0.310356   3.231041  3.327422   0.232530   3.279231  14.102388
171        Tcp11l1  0.908779  1.000628   3.857792  3.637436   0.954704   3.747614   3.925422
172      Trp53inp2  1.126979  0.972402   4.150178  4.055213   1.049691   4.102695   3.908480
177          Hells  5.912554  5.021893   2.849971  2.252861   5.467223   2.551416   0.466675
179        Sigmar1  4.547154  4.420994   1.656739  1.441292   4.484074   1.549016   0.345448
181        Slc30a1  2.633185  2.536132   5.813891  5.486470   2.584659   5.650181   2.186045
184           Cdk6  4.161267  3.628622   0.752643  1.181325   3.894944   0.966984   0.248267
189          Crlf1  0.137504  0.276117   3.013759  3.147793   0.206810   3.080776  14.896643
191           Etv5  3.862878  3.091937   1.168931  0.581895   3.477407   0.875413   0.251743
194           Tbx6  0.755153  0.305962   3.033471  3.529234   0.530557   3.281352   6.184726
204          Gstt2  2.354827  1.554972   4.100313  4.801438   1.954900   4.450876   2.276780
205          Rgs12  1.160204  1.719678   4.336619  3.895128   1.439941   4.115874   2.858362
211        Gm16515  2.409551  2.279144   5.135576  5.129588   2.344348   5.132582   2.189343
212          Dstyk  1.515717  2.286677   4.954159  4.422549   1.901197   4.688354   2.466001
215       Slc26a11  1.823150  0.979441   3.753005  4.384630   1.401295   4.068818   2.903612
220         Fam57b  0.167422  0.474387   2.799033  3.120337   0.320905   2.959685   9.222939
226          Usp49  2.591591  2.242615   5.257923  5.137417   2.417103   5.197670   2.150372
232          Pxmp4  2.519733  2.769181   5.682641  5.046478   2.644457   5.364559   2.028605
233         Fam63b  2.417580  2.071347   4.858757  5.096637   2.244464   4.977697   2.217767
237     St6galnac4  3.472247  3.102987   0.759738  0.660992   3.287617   0.710365   0.216073
246          Igsf8  4.897177  4.326429   2.464096  1.861519   4.611803   2.162807   0.468972
250          Fhdc1  0.885247  1.215610   3.263732  3.825836   1.050429   3.544784   3.374607
